Name,Region_1depth_Name,Region_2depth_Name,Region_3depth_Name,Category,Latitude,Longitude
만족왕족발보쌈,전북특별자치도,전주시 덕진구,송천동1가,"음식점 > 한식 > 육류,고기 > 족발,보쌈",35.85157029,127.1209755
늘채움,전북특별자치도,전주시 덕진구,덕진동2가,음식점 > 한식,35.84654614,127.120628
야미 전북대점,전북특별자치도,전주시 덕진구,덕진동1가,"음식점 > 일식 > 돈까스,우동",35.84395806,127.1264431
옛날땡땡이상추튀김 북대1호점,전북특별자치도,전주시 덕진구,금암동,음식점 > 분식,35.84368631,127.1277422
슬기네가맥,전북특별자치도,전주시 덕진구,덕진동1가,"음식점 > 술집 > 호프,요리주점",35.8448966,127.1252646
모두랑즉석떡볶이,전북특별자치도,전주시 덕진구,덕진동1가,음식점 > 분식 > 떡볶이,35.84420321,127.1264325
팀 전북대점,전북특별자치도,전주시 덕진구,금암동,음식점 > 양식,35.84332886,127.1282641
흐엉꾸에하롱베이퍼 전북대본점,전북특별자치도,전주시 덕진구,덕진동1가,음식점 > 아시아음식 > 동남아음식,35.84403401,127.1253507
여만국수전문점,전북특별자치도,전주시 덕진구,덕진동1가,음식점 > 한식 > 국수,35.8416745,127.1209715
취향회관,전북특별자치도,전주시 덕진구,덕진동2가,음식점 > 한식,35.84673279,127.1205342
무궁화한정식,전북특별자치도,전주시 덕진구,덕진동2가,음식점 > 한식 > 한정식,35.85006717,127.1171651
고귀,전북특별자치도,전주시 덕진구,송천동1가,"음식점 > 한식 > 육류,고기",35.8535773,127.1192604
맥도날드 전주덕진DT점,전북특별자치도,전주시 덕진구,덕진동1가,음식점 > 패스트푸드 > 맥도날드,35.84384617,127.1231023
우노스베이커리,전북특별자치도,전주시 덕진구,덕진동1가,"음식점 > 간식 > 제과,베이커리",35.8460617,127.1246156
광장포차타운,전북특별자치도,전주시 덕진구,덕진동1가,음식점 > 술집 > 실내포장마차,35.84460899,127.1245071
오늘김해뒷고기 전북대점,전북특별자치도,전주시 덕진구,금암동,"음식점 > 한식 > 육류,고기",35.84339052,127.1279056
치쿠린 전북대본점,전북특별자치도,전주시 덕진구,덕진동1가,음식점 > 일식 > 일본식라면,35.84233161,127.1270007
도미노피자 전주송천점,전북특별자치도,전주시 덕진구,송천동1가,음식점 > 양식 > 피자 > 도미노피자,35.85217769,127.120124
옛날옴팡집,전북특별자치도,전주시 덕진구,덕진동1가,음식점 > 한식,35.85044622,127.1220719
길손네,전북특별자치도,전주시 덕진구,덕진동1가,"음식점 > 술집 > 호프,요리주점",35.84420626,127.1269638
참맛분식 본점,전북특별자치도,전주시 덕진구,덕진동1가,음식점 > 분식,35.84409585,127.1265408
짬뽕명가,전북특별자치도,전주시 덕진구,덕진동2가,음식점 > 중식 > 중국요리,35.8467396,127.1209371
광장포차시골집,전북특별자치도,전주시 덕진구,덕진동1가,음식점 > 술집 > 실내포장마차,35.84507842,127.1254852
청양농장,전북특별자치도,전주시 덕진구,덕진동1가,"음식점 > 한식 > 육류,고기",35.8438415,127.1258674
오일내 전북대점,전북특별자치도,전주시 덕진구,덕진동1가,"음식점 > 한식 > 육류,고기 > 삼겹살",35.84276208,127.1281536
신덕일관,전북특별자치도,전주시 덕진구,덕진동1가,음식점 > 중식 > 중국요리,35.84420832,127.1267147
고수닭갈비 전북대점,전북특별자치도,전주시 덕진구,덕진동1가,"음식점 > 한식 > 육류,고기 > 닭요리",35.84274496,127.1281569
면식당 전북대점,전북특별자치도,전주시 덕진구,덕진동1가,음식점 > 일식 > 일식집,35.84388488,127.1266146
후토루 전북대점,전북특별자치도,전주시 덕진구,덕진동1가,음식점 > 분식,35.84487792,127.1258934
전주현대옥 덕진광장점,전북특별자치도,전주시 덕진구,덕진동1가,음식점 > 한식 > 국밥 > 전주현대옥,35.84451125,127.1240265
치히로 전북대점,전북특별자치도,전주시 덕진구,금암동,음식점 > 일식 > 일식집,35.84321448,127.1281831
두끼떡볶이 전북대점,전북특별자치도,전주시 덕진구,덕진동1가,음식점 > 분식 > 떡볶이 > 두끼떡볶이,35.84329412,127.1270243
파파존스 전주점,전북특별자치도,전주시 덕진구,금암동,음식점 > 양식 > 피자 > 파파존스,35.84351385,127.1280419
아람,전북특별자치도,전주시 덕진구,금암동,음식점 > 술집 > 칵테일바,35.84335539,127.1278956
브디런,전북특별자치도,전주시 덕진구,금암동,음식점 > 양식,35.84344506,127.1274673
광장수산,전북특별자치도,전주시 덕진구,덕진동1가,"음식점 > 한식 > 해물,생선 > 회",35.84453645,127.1240575
본죽&비빔밥cafe 전북대점,전북특별자치도,전주시 덕진구,덕진동1가,음식점 > 퓨전요리 > 퓨전한식 > 본죽&비빔밥cafe,35.84505825,127.1258139
김종구식맛치킨 송천센트럴점,전북특별자치도,전주시 덕진구,송천동1가,음식점 > 치킨,35.85513193,127.1192948
화산춘,전북특별자치도,전주시 덕진구,송천동2가,"음식점 > 한식 > 육류,고기 > 갈비",35.86387301,127.1221678
쿠우쿠우 전주송천점,전북특별자치도,전주시 덕진구,송천동2가,음식점 > 뷔페 > 해산물뷔페 > 쿠우쿠우,35.86666529,127.1305538
부부파스타,전북특별자치도,전주시 덕진구,송천동1가,음식점 > 양식,35.86304218,127.1306121
라라코스트 전주송천점,전북특별자치도,전주시 덕진구,송천동1가,음식점 > 패밀리레스토랑,35.86411594,127.1277573
청해붉은대게무한리필,전북특별자치도,전주시 덕진구,송천동2가,"음식점 > 한식 > 해물,생선 > 게,대게",35.86589343,127.127552
동해회집,전북특별자치도,전주시 덕진구,송천동2가,"음식점 > 한식 > 해물,생선 > 회",35.86465897,127.1220981
본참치 송천에코점,전북특별자치도,전주시 덕진구,송천동1가,음식점 > 일식 > 참치회,35.85993153,127.1268073
착한낙지 덕진구직영점,전북특별자치도,전주시 덕진구,송천동2가,"음식점 > 한식 > 해물,생선",35.86421288,127.1211829
