구별,위반일자,위반시간,위반장소,위반내용
완산구,2022-12-28,,완산구 중화산동 2가 662-5 부근,재활용혼합배출
완산구,2022-12-28,,완산구 중화산동 2가 662-5 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-12-28,,완산구 용리로 16 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-12-27,,완산구 새터로 117-2 부근,음식물혼합배출
완산구,2022-12-27,,완산구 새터로 117-2 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-12-27,,완산구 삼천 거마공원 주차장 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-12-26,,덕진구 덕진동2가 670-1,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-12-26,,삼천 거마공원 주차장 부근,재활용혼합배출
완산구,2022-12-26,,완산구 삼천도서관 앞 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2022-12-25,,덕진구 인후동2가 237-3,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-12-23,,덕진구 우아네거리-전주역 방면 동부대로,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-12-21,,완산구 범안2길 24 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-12-21,,완산구 중화산동2가 485-131,음식물혼합배출
완산구,2022-12-20,,완산구 효자동1가 690-5 은빛공원,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-12-19,,완산구 효자동2가 1301,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-12-19,,완산구 선너머2길 34,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-12-17,,완산구 효자동3가 1604-12,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-12-16,,완산구 중인1길 76 중인초,운반장비(차량 등) 이용 폐기물 투기
완산구,2022-12-16,,완산구 중인1길 76 중인초,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-12-15,,"전라북도 전주시 덕진구 동부대로 575, 우정신세계아파트",운반장비(차량 등) 이용 폐기물 투기
덕진구,2022-12-15,,전라북도 전주시 덕진구 덕진광장 공영주차장 옆 화장실,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2022-12-15,,"덕진구 만성동 140(정여립로 988)(차량번호 안보임, 확인 요)",휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-12-14,,덕진구 팔복동1가 308-3(영상 안보여서 확인해야함),휴대하고 있는 폐기물(담배꽁초 등) 투기
