도로명 주소,지번 주소,위도,경도,주택유형구분,세대수(객실수),건축연도
전북특별자치도 전주시 덕진구 인교6길 13-21,전북특별자치도 전주시 덕진구 우아동1가 1105-1,35.8251174,127.1716804,단독주택,13,2008-08-05
전북특별자치도 전주시 완산구 전룡4길 8-6,전북특별자치도 전주시 완산구 서신동 894-4,35.8259032,127.1200781,단독주택,10,2008-08-05
전북특별자치도 전주시 완산구 범안2길 11-5,전북특별자치도 전주시 완산구 효자동2가 1163-8,35.81280355,127.1080212,단독주택,13,2008-08-05
전북특별자치도 전주시 덕진구 인후6길 5-8,전북특별자치도 전주시 덕진구 인후동1가 810-5,35.83188966,127.1579255,단독주택,12,2008-08-06
전북특별자치도 전주시 완산구 봉곡1길 30,전북특별자치도 전주시 완산구 효자동2가 1249-1,35.81314412,127.1001372,단독주택,9,2008-08-08
전북특별자치도 전주시 덕진구 반월5길 8-14,전북특별자치도 전주시 덕진구 반월동 374-6,35.87349703,127.0689141,단독주택,11,2008-08-14
전북특별자치도 전주시 덕진구 솔내1길 86-5,전북특별자치도 전주시 덕진구 송천동1가 169-14,35.8577805,127.1258686,다가구주택,13,2008-08-14
전북특별자치도 전주시 완산구 메너머3길 17-8,전북특별자치도 전주시 완산구 중화산동2가 693-3,35.82350231,127.1206381,단독주택,13,2008-08-14
전북특별자치도 전주시 완산구 서곡3길 2-19,전북특별자치도 전주시 완산구 효자동3가 1416-10,35.83658294,127.1017036,단독주택,9,2008-08-18
전북특별자치도 전주시 덕진구 진버들6길 30-14,전북특별자치도 전주시 덕진구 우아동2가 855-1,35.83803527,127.1663892,"단독주택(다가구), 제1종근린생활시설(소매점)",11,2008-08-19
전북특별자치도 전주시 덕진구 한배미2길 23,전북특별자치도 전주시 덕진구 인후동1가 930-1,35.82484219,127.1641076,다가구,10,2008-08-19
전북특별자치도 전주시 완산구 서곡1길 9-4,전북특별자치도 전주시 완산구 효자동3가 1453-3,35.83494947,127.0998062,단독주택,10,2008-08-19
전북특별자치도 전주시 완산구 서곡7길 24-8,전북특별자치도 전주시 완산구 효자동3가 1476-10,35.83250835,127.1010657,단독주택,4,2008-08-19
